,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team One Nationalities,Team Two Nationalities,Player 1 Name,Player 1 Seed,Player 2 Name,Player 2 Seed,Points Set 1 Player 1,Points Set 1 Player 2,Points Set 2 Player 1,Points Set 2 Player 2,Points Set 3 Player 1,Points Set 3 Player 2,Total Points Player 1,Total Points Player 2,Sets Won Player 1,Sets Won Player 2,Total Game Points Player 1,Total Game Points Player 2,Most Consecutive Points Player 1,Most Consecutive Points Player 2,Player 1 Head to Head Analysis,Player 2 Head to Head Analysis,Match Winner
0,Petronas_Malaysia_Open,2023-01-10,Malaysia,WS,2,0,37,Indonesia,China,Gregoria Mariska Tunjung,,He Bing Jiao,5,21,11,21,17,0,0,42,28,2,0,2,0,6,6,2,4,1
1,Petronas_Malaysia_Open,2023-01-10,Malaysia,WS,3,0,51,Japan,Denmark,Akane Yamaguchi,1,Line Højmark Kjaersfeldt,,17,21,21,13,21,15,59,49,2,1,11,2,6,5,8,0,1
2,Petronas_Malaysia_Open,2023-01-10,Malaysia,WS,2,0,35,Denmark,Korea,Mia Blichfeldt,,Kim Ga Eun,,21,19,21,7,0,0,42,26,2,0,4,0,5,4,2,0,1
3,Petronas_Malaysia_Open,2023-01-10,Malaysia,WS,2,0,31,Thailand,Scotland,Busanan Ongbamrungphan,,Kirsty Gilmour,,21,17,21,8,0,0,42,25,2,0,3,0,9,3,8,1,1
4,Petronas_Malaysia_Open,2023-01-10,Malaysia,WS,3,0,43,China,India,Han Yue,,Saina Nehwal,,21,12,17,21,21,12,59,45,2,1,4,1,6,4,3,1,1
5,Petronas_Malaysia_Open,2023-01-10,Malaysia,WS,2,0,24,Chinesetaipei,Spain,Tai Tzu Ying,3,Clara Azurmendi,,21,10,21,10,0,0,42,20,2,0,4,0,6,4,2,0,1
6,Petronas_Malaysia_Open,2023-01-10,Malaysia,WS,2,0,26,Chinesetaipei,India,Wen Chi Hsu,,Aakarshi Kashyap,,21,10,21,8,0,0,42,18,2,0,2,0,7,3,1,0,1
7,Petronas_Malaysia_Open,2023-01-10,Malaysia,WS,3,0,58,Japan,Korea,Aya Ohori,,Sim Yu Jin,,21,9,14,21,21,14,56,44,2,1,2,3,5,3,2,1,1
8,Petronas_Malaysia_Open,2023-01-11,Malaysia,WS,2,0,34,China,Japan,Chen Yu Fei,4,Nozomi Okuhara,,21,9,21,17,0,0,42,26,2,0,4,0,7,7,10,4,1
9,Petronas_Malaysia_Open,2023-01-11,Malaysia,WS,3,0,59,Spain,India,Carolina Marin,,Pusarla V. Sindhu,6,21,12,10,21,21,15,52,48,2,1,3,1,6,4,12,5,1
10,Petronas_Malaysia_Open,2023-01-11,Malaysia,WS,2,0,32,Canada,Denmark,Michelle Li,,Line Christophersen,,21,13,21,15,0,0,42,28,2,0,3,0,5,3,2,0,1
11,Petronas_Malaysia_Open,2023-01-11,Malaysia,WS,2,0,39,Malaysia,Germany,Goh Jin Wei,,Yvonne Li,,21,11,21,18,0,0,42,29,2,0,4,0,6,4,2,2,1
12,Petronas_Malaysia_Open,2023-01-11,Malaysia,WS,2,0,31,Korea,India,An Se Young,2,Malvika Bansod,,21,9,21,13,0,0,42,22,2,0,2,0,10,4,1,0,1
13,Petronas_Malaysia_Open,2023-01-11,Malaysia,WS,2,0,39,Thailand,Singapore,Pornpawee Chochuwong,,Yeo Jia Min,,21,15,21,16,0,0,42,31,2,0,4,0,4,3,4,2,1
14,Petronas_Malaysia_Open,2023-01-11,Malaysia,WS,2,0,39,Chinesetaipei,Usa,Pai Yu Po,,Beiwen Zhang,,21,18,24,22,0,0,45,40,2,0,2,5,7,7,2,6,1
15,Petronas_Malaysia_Open,2023-01-11,Malaysia,WS,2,0,38,China,China,Wang Zhi Yi,8,Zhang Yi Man,,21,16,21,10,0,0,42,26,2,0,5,0,7,4,6,4,1
16,Petronas_Malaysia_Open,2023-01-12,Malaysia,WS,2,0,50,Spain,Thailand,Carolina Marin,,Pornpawee Chochuwong,,21,14,21,17,0,0,42,31,2,0,2,0,7,4,9,2,1
17,Petronas_Malaysia_Open,2023-01-12,Malaysia,WS,2,0,41,Japan,Thailand,Akane Yamaguchi,1,Busanan Ongbamrungphan,,21,15,21,15,0,0,42,30,2,0,2,0,6,6,12,2,1
18,Petronas_Malaysia_Open,2023-01-12,Malaysia,WS,2,0,33,Korea,Malaysia,An Se Young,2,Goh Jin Wei,,21,10,21,12,0,0,42,22,2,0,4,0,6,3,2,1,1
19,Petronas_Malaysia_Open,2023-01-12,Malaysia,WS,2,0,32,Chinesetaipei,China,Tai Tzu Ying,3,Han Yue,,21,10,21,13,0,0,42,23,2,0,4,0,5,2,3,0,1
20,Petronas_Malaysia_Open,2023-01-12,Malaysia,WS,2,0,37,China,Chinesetaipei,Wang Zhi Yi,8,Pai Yu Po,,21,13,21,10,0,0,42,23,2,0,2,0,7,3,5,0,1
21,Petronas_Malaysia_Open,2023-01-12,Malaysia,WS,3,0,67,Denmark,Japan,Mia Blichfeldt,,Aya Ohori,,21,17,19,21,21,14,61,52,2,1,2,2,6,5,1,0,1
22,Petronas_Malaysia_Open,2023-01-12,Malaysia,WS,3,0,71,Chinesetaipei,Indonesia,Wen Chi Hsu,,Gregoria Mariska Tunjung,,21,18,16,21,21,18,58,57,2,1,3,2,6,5,1,1,1
23,Petronas_Malaysia_Open,2023-01-12,Malaysia,WS,3,0,56,China,Canada,Chen Yu Fei,4,Michelle Li,,21,13,10,21,21,13,52,47,2,1,3,1,7,6,11,1,1
24,Petronas_Malaysia_Open,2023-01-13,Malaysia,WS,3,0,77,Korea,China,An Se Young,2,Wang Zhi Yi,8,21,17,16,21,21,19,58,57,2,1,10,2,6,6,8,2,1
25,Petronas_Malaysia_Open,2023-01-13,Malaysia,WS,2,0,57,China,Spain,Chen Yu Fei,4,Carolina Marin,,21,18,21,19,0,0,42,37,2,0,3,0,4,4,7,6,1
26,Petronas_Malaysia_Open,2023-01-13,Malaysia,WS,2,0,34,Japan,Denmark,Akane Yamaguchi,1,Mia Blichfeldt,,21,12,21,11,0,0,42,23,2,0,5,0,6,3,11,0,1
27,Petronas_Malaysia_Open,2023-01-13,Malaysia,WS,2,0,25,Chinesetaipei,Chinesetaipei,Tai Tzu Ying,3,Wen Chi Hsu,,21,6,21,8,0,0,42,14,2,0,2,0,7,3,3,1,1
28,Petronas_Malaysia_Open,2023-01-14,Malaysia,WS,3,0,71,Korea,China,An Se Young,2,Chen Yu Fei,4,21,12,19,21,21,9,61,42,2,1,3,1,9,3,7,13,1
29,Petronas_Malaysia_Open,2023-01-14,Malaysia,WS,2,0,41,Japan,Chinesetaipei,Akane Yamaguchi,1,Tai Tzu Ying,3,21,18,21,16,0,0,42,34,2,0,7,0,7,4,12,12,1
