,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
0,Blibli_Indonesia_Open,2018-07-07,Indonesia,MD,4,0,32,Japan,Chinesetaipei,"Takuto Inoue, Yuki Kaneko",7.0,"Liao Min Chun, Su Ching Heng",,21,13,21.0,11.0,,,42,24,2,0,4,0,7,3,1,1,1,24,18760,12,21750
1,Blibli_Indonesia_Open,2018-07-06,Indonesia,MD,4,0,29,Chinesetaipei,Indonesia,"Liao Min Chun, Su Ching Heng",,"Berry Angriawan, Hardianto Hardianto",,21,13,21.0,8.0,,,42,21,2,0,3,0,9,3,1,1,1,12,21750,5,27710
2,Yonex_All_England_Open,2018-03-17,England,MD,4,0,38,Indonesia,Denmark,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1.0,"Mads Conrad-Petersen, Mads Pieler Kolding",6.0,21,11,21.0,19.0,,,42,30,2,0,3,0,5,5,5,2,0,2,18400,10,11460
3,Yonex_All_England_Open,2018-03-16,England,MD,4,0,30,Indonesia,Chinesetaipei,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1.0,"Chen Hung Ling, Wang Chi-Lin",7.0,21,15,21.0,13.0,,,42,28,2,0,4,0,4,4,4,0,0,2,18400,10,11460
4,Yonex_All_England_Open,2018-03-18,England,MD,4,0,42,Indonesia,Denmark,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1.0,"Mathias Boe, Carsten Mogensen",2.0,21,18,21.0,17.0,,,42,35,2,0,2,0,4,4,4,4,0,2,18400,13,10600
5,Blibli_Indonesia_Open,2018-07-04,Indonesia,MD,6,0,62,Indonesia,China,"Ricky Karandasuwardi, Angga Pratama",,"He Ji Ting, Tan Qiang",,16,21,21.0,17.0,26.0,24.0,63,62,2,1,6,3,5,5,1,0,1,,,33,13280
6,Blibli_Indonesia_Open,2018-07-07,Indonesia,MD,4,0,24,Indonesia,Indonesia,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1.0,"Fajar Alfian, Muhammad Rian Ardianto",,21,13,21.0,10.0,,,42,23,2,0,4,0,6,2,5,4,0,1,36450,3,29920
7,Blibli_Indonesia_Open,2018-07-06,Indonesia,MD,6,0,65,Indonesia,Denmark,"Marcus Fernaldi Gideon, Kevin Sanjaya Sukamuljo",1.0,"Mads Conrad-Petersen, Mads Pieler Kolding",5.0,20,22,22.0,20.0,21.0,18.0,63,60,2,1,5,1,6,4,5,2,0,1,36450,7,26370
8,Yonex_All_England_Open,2018-03-15,England,MD,4,0,47,China,Denmark,"Li Jun Hui, Liu Yu Chen",3.0,"Kim Astrup, Anders Skaarup Rasmussen",,21,17,21.0,17.0,,,42,34,2,0,7,0,10,5,8,1,0,5,12840,6,12240
9,Blibli_Indonesia_Open,2018-07-03,Indonesia,MD,6,0,58,Indonesia,China,"Berry Angriawan, Hardianto Hardianto",,"Han Cheng Kai, Zhou Hao Dong",,20,22,21.0,18.0,21.0,18.0,62,58,2,1,3,2,5,5,1,1,0,5,25050,14,17420
