,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
0,Blibli_Indonesia_Open,2018-07-07,2,MD,4,0,32,8,3,69,7.0,67,,21,13,21.0,11.0,,,42,24,2,0,4,0,7,3,1,1,1,24.0,18760.0,12.0,21750.0
1,Blibli_Indonesia_Open,2018-07-06,2,MD,4,0,29,1,10,36,,7,,21,13,21.0,8.0,,,42,21,2,0,3,0,9,3,1,1,1,12.0,21750.0,5.0,27710.0
2,Yonex_All_England_Open,2018-03-17,1,MD,4,0,38,7,5,47,1.0,75,6.0,21,11,21.0,19.0,,,42,30,2,0,3,0,5,5,5,2,0,2.0,18400.0,10.0,11460.0
3,Yonex_All_England_Open,2018-03-16,1,MD,4,0,30,7,3,47,1.0,14,7.0,21,15,21.0,13.0,,,42,28,2,0,4,0,4,4,4,0,0,2.0,18400.0,10.0,11460.0
4,Yonex_All_England_Open,2018-03-18,1,MD,4,0,42,7,5,47,1.0,81,2.0,21,18,21.0,17.0,,,42,35,2,0,2,0,4,4,4,4,0,2.0,18400.0,13.0,10600.0
5,Blibli_Indonesia_Open,2018-07-04,2,MD,6,0,62,7,2,62,,34,,16,21,21.0,17.0,26.0,24.0,63,62,2,1,6,3,5,5,1,0,1,,,33.0,13280.0
6,Blibli_Indonesia_Open,2018-07-07,2,MD,4,0,24,7,10,47,1.0,26,,21,13,21.0,10.0,,,42,23,2,0,4,0,6,2,5,4,0,1.0,36450.0,3.0,29920.0
7,Blibli_Indonesia_Open,2018-07-06,2,MD,6,0,65,7,5,47,1.0,75,5.0,20,22,22.0,20.0,21.0,18.0,63,60,2,1,5,1,6,4,5,2,0,1.0,36450.0,7.0,26370.0
8,Yonex_All_England_Open,2018-03-15,1,MD,4,0,47,0,5,34,3.0,52,,21,17,21.0,17.0,,,42,34,2,0,7,0,10,5,8,1,0,5.0,12840.0,6.0,12240.0
9,Blibli_Indonesia_Open,2018-07-03,2,MD,6,0,58,7,2,5,,32,,20,22,21.0,18.0,21.0,18.0,62,58,2,1,3,2,5,5,1,1,0,5.0,25050.0,14.0,17420.0
10,Blibli_Indonesia_Open,2018-07-05,2,MD,4,0,32,7,5,5,,52,8.0,21,14,21.0,12.0,,,42,26,2,0,4,0,5,3,0,1,0,5.0,27710.0,9.0,25840.0
11,Blibli_Indonesia_Open,2018-07-08,2,MD,4,0,31,7,12,47,1.0,108,7.0,21,13,21.0,16.0,,,42,29,2,0,4,0,5,5,7,0,0,1.0,36450.0,24.0,18760.0
12,Yonex_All_England_Open,2018-03-17,1,MD,4,0,51,2,12,49,2.0,37,,21,17,21.0,17.0,,,42,34,2,0,4,0,5,3,0,0,0,13.0,10600.0,31.0,5820.0
13,Yonex_All_England_Open,2018-03-16,1,MD,4,0,43,2,14,49,2.0,31,,22,20,21.0,11.0,,,43,31,2,0,3,0,6,4,2,3,1,13.0,10600.0,3.0,17740.0
14,Blibli_Indonesia_Open,2018-07-04,2,MD,6,0,60,7,12,12,,106,6.0,21,18,14.0,21.0,21.0,18.0,56,57,2,1,6,1,4,4,4,6,0,4.0,25600.0,42.0,9350.0
15,Blibli_Indonesia_Open,2018-07-05,2,MD,4,0,27,7,14,47,1.0,89,,21,18,21.0,12.0,,,42,30,2,0,4,0,5,4,6,0,0,1.0,36450.0,26.0,18240.0
16,Victor_China_Open,2018-09-20,0,MD,4,0,24,7,19,47,1.0,110,,21,13,21.0,13.0,,,42,26,2,0,2,0,4,3,2,0,0,1.0,48450.0,4.0,37910.0
17,Blibli_Indonesia_Open,2018-07-04,2,MD,4,0,37,2,3,43,5.0,14,,21,19,21.0,13.0,,,42,32,2,0,4,0,6,3,1,0,1,6.0,23710.0,3.0,26730.0
18,Blibli_Indonesia_Open,2018-07-06,2,MD,4,0,33,8,17,69,7.0,112,,21,17,21.0,19.0,,,42,36,2,0,4,0,4,5,3,2,0,24.0,18760.0,40.0,11480.0
19,Yonex_All_England_Open,2018-03-14,1,MD,4,0,34,2,13,49,2.0,21,,21,17,21.0,9.0,,,42,26,2,0,3,0,8,3,0,0,0,13.0,10600.0,,
20,Yonex_All_England_Open,2018-03-16,1,MD,4,0,42,8,3,20,,67,,21,14,21.0,19.0,,,42,33,2,0,3,0,4,3,1,3,1,31.0,5820.0,17.0,8640.0
21,Victor_China_Open,2018-09-20,0,MD,4,0,27,0,10,22,,84,,21,11,21.0,12.0,,,42,23,2,0,4,0,6,3,0,1,1,67.0,9120.0,12.0,32640.0
22,Yonex_All_England_Open,2018-03-15,1,MD,6,0,66,10,6,15,,78,,16,21,23.0,21.0,21.0,12.0,60,54,2,1,4,2,6,6,5,1,0,3.0,17740.0,41.0,4900.0
23,Blibli_Indonesia_Open,2018-07-05,2,MD,6,0,69,1,12,36,,37,,21,19,12.0,21.0,22.0,20.0,55,60,2,1,4,1,4,8,2,2,1,12.0,21750.0,10.0,25240.0
24,Yonex_All_England_Open,2018-03-14,1,MD,4,0,40,3,9,46,,4,,22,20,21.0,12.0,,,43,32,2,0,2,1,4,4,0,3,1,41.0,4900.0,20.0,7260.0
25,Victor_China_Open,2018-09-18,0,MD,4,0,37,10,6,56,,78,,21,11,21.0,15.0,,,42,26,2,0,4,0,7,2,2,0,0,28.0,23040.0,33.0,20720.0
26,Victor_China_Open,2018-09-19,0,MD,4,0,30,7,2,53,,68,4.0,21,19,21.0,14.0,,,42,33,2,0,5,0,6,3,1,0,0,12.0,32640.0,25.0,25380.0
27,Yonex_All_England_Open,2018-03-16,1,MD,4,0,48,2,2,43,6.0,65,3.0,23,21,21.0,15.0,,,44,36,2,0,3,1,4,4,2,0,1,10.0,11460.0,5.0,12840.0
28,Blibli_Indonesia_Open,2018-07-03,2,MD,4,0,32,0,12,34,4.0,107,,21,18,21.0,16.0,,,42,34,2,0,5,0,5,5,4,2,0,12.0,19440.0,97.0,3000.0
29,Yonex_All_England_Open,2018-03-15,1,MD,6,0,41,1,10,36,,84,,13,21,21.0,18.0,21.0,14.0,55,53,2,1,4,4,5,5,0,4,0,17.0,8640.0,23.0,6420.0
30,Blibli_Indonesia_Open,2018-07-05,2,MD,6,0,41,0,2,37,3.0,39,,15,21,21.0,13.0,21.0,13.0,57,47,2,1,4,2,8,4,1,0,0,23.0,18780.0,81.0,4320.0
31,Blibli_Indonesia_Open,2018-07-06,2,MD,6,0,71,7,2,12,,68,3.0,21,18,18.0,21.0,25.0,23.0,64,62,2,1,8,2,5,4,1,1,0,3.0,29920.0,23.0,18780.0
32,Victor_China_Open,2018-09-19,0,MD,6,0,58,7,5,5,,75,6.0,22,20,11.0,21.0,21.0,16.0,54,57,2,1,2,5,6,4,1,1,0,9.0,34310.0,11.0,32970.0
33,Blibli_Indonesia_Open,2018-07-03,2,MD,4,0,34,1,5,36,,81,2.0,21,13,21.0,15.0,,,42,28,2,0,2,0,5,3,0,1,1,13.0,19090.0,8.0,20800.0
34,Victor_China_Open,2018-09-20,0,MD,6,0,55,0,14,34,2.0,89,,21,15,17.0,21.0,21.0,17.0,59,53,2,1,2,2,6,6,6,0,0,14.0,31940.0,28.0,23040.0
35,Victor_China_Open,2018-09-18,0,MD,4,0,33,0,3,34,2.0,72,,21,12,24.0,22.0,,,45,34,2,0,4,2,4,3,6,2,0,14.0,31940.0,23.0,26170.0
36,Yonex_All_England_Open,2018-03-15,1,MD,6,0,63,2,8,43,6.0,45,,22,20,19.0,21.0,21.0,11.0,62,52,2,1,6,3,5,4,1,0,0,10.0,11460.0,58.0,2750.0
37,Victor_China_Open,2018-09-18,0,MD,6,0,60,2,12,29,8.0,37,,21,18,17.0,21.0,21.0,11.0,59,50,2,1,3,3,7,4,1,4,1,16.0,30640.0,5.0,37840.0
38,Victor_China_Open,2018-09-18,0,MD,4,0,32,5,2,48,,90,,21,16,21.0,18.0,,,42,34,2,0,7,0,6,4,0,1,1,31.0,21490.0,17.0,28740.0
39,Victor_China_Open,2018-09-22,0,MD,6,0,46,0,10,16,,79,1.0,21,19,11.0,21.0,21.0,17.0,53,57,2,1,2,3,4,5,2,4,1,10.0,33470.0,1.0,48450.0
40,Victor_China_Open,2018-09-21,0,MD,6,0,51,1,2,8,,34,,19,21,21.0,12.0,22.0,20.0,62,53,2,1,3,2,4,7,1,4,0,8.0,34610.0,26.0,23980.0
41,Victor_China_Open,2018-09-18,0,MD,6,0,39,6,3,3,,67,,13,21,21.0,13.0,21.0,12.0,55,46,2,1,4,2,6,6,0,1,1,20.0,27280.0,6.0,37410.0
42,Yonex_All_England_Open,2018-03-14,1,MD,4,0,36,8,19,20,,57,,21,8,24.0,22.0,,,45,30,2,0,3,3,11,5,2,0,1,31.0,5820.0,21.0,6710.0
43,Victor_China_Open,2018-09-21,0,MD,4,0,33,2,2,29,8.0,65,2.0,21,12,21.0,13.0,,,42,25,2,0,2,0,4,2,0,9,1,16.0,30640.0,14.0,31940.0
44,Blibli_Indonesia_Open,2018-07-04,2,MD,4,0,30,10,10,56,,113,,21,18,21.0,11.0,,,42,29,2,0,4,0,10,3,1,2,1,30.0,13920.0,10.0,20470.0
45,Victor_China_Open,2018-09-19,0,MD,4,0,24,0,3,22,,61,,21,11,21.0,16.0,,,42,27,2,0,3,0,5,4,1,0,1,67.0,9120.0,37.0,18070.0
46,Yonex_All_England_Open,2018-03-14,1,MD,4,0,42,2,6,51,,93,,21,19,21.0,15.0,,,42,34,2,0,2,0,4,4,1,0,0,16.0,9410.0,58.0,2750.0
47,Victor_China_Open,2018-09-22,0,MD,4,0,40,2,3,29,8.0,14,,21,13,21.0,19.0,,,42,32,2,0,2,0,4,3,3,2,1,16.0,30640.0,8.0,34610.0
48,Victor_China_Open,2018-09-18,0,MD,6,0,40,0,12,18,,107,,21,16,18.0,21.0,21.0,18.0,60,55,2,1,4,3,4,4,4,2,0,26.0,23980.0,61.0,10880.0
49,Victor_China_Open,2018-09-18,0,MD,6,0,48,7,12,12,,106,3.0,20,22,21.0,15.0,21.0,15.0,62,52,2,1,4,1,7,3,4,6,0,2.0,38320.0,13.0,32550.0
50,Yonex_All_England_Open,2018-03-14,1,MD,6,0,49,5,8,25,,80,,21,14,19.0,21.0,21.0,16.0,61,51,2,1,3,3,5,6,0,0,0,58.0,2750.0,58.0,2750.0
51,Victor_China_Open,2018-09-21,0,MD,4,0,23,0,2,16,,39,,21,16,21.0,18.0,,,42,34,2,0,6,0,5,2,1,0,0,10.0,33470.0,67.0,9120.0
52,Blibli_Indonesia_Open,2018-07-03,2,MD,4,0,30,8,9,20,,103,,21,8,21.0,15.0,,,42,23,2,0,2,0,7,3,1,2,0,18.0,15890.0,20.0,14820.0
53,Victor_China_Open,2018-09-23,0,MD,6,0,52,2,2,29,8.0,32,,21,13,17.0,21.0,21.0,14.0,59,48,2,1,4,1,5,5,3,0,1,16.0,30640.0,10.0,33470.0
54,Blibli_Indonesia_Open,2018-07-05,2,MD,6,0,55,7,15,12,,42,,21,18,19.0,21.0,21.0,14.0,61,53,2,1,3,1,5,5,0,0,0,3.0,29920.0,49.0,9720.0
55,Victor_China_Open,2018-09-20,0,MD,6,0,72,0,10,16,,7,,8,21,25.0,23.0,24.0,22.0,57,66,2,1,7,4,6,6,0,2,1,10.0,33470.0,9.0,34310.0
56,Victor_China_Open,2018-09-19,0,MD,4,0,33,0,17,16,,112,,21,18,21.0,16.0,,,42,34,2,0,5,0,5,3,1,1,0,10.0,33470.0,29.0,21930.0
57,Victor_China_Open,2018-09-19,0,MD,4,0,22,14,1,70,,41,,21,14,21.0,9.0,,,42,23,2,0,5,0,7,3,0,0,0,4.0,37910.0,34.0,20010.0
58,Yonex_All_England_Open,2018-03-14,1,MD,4,0,46,1,2,36,,68,4.0,22,20,22.0,20.0,,,44,40,2,0,3,1,3,4,0,2,1,17.0,8640.0,10.0,11460.0
59,Victor_China_Open,2018-09-19,0,MD,4,0,31,7,12,62,,108,7.0,21,19,21.0,14.0,,,42,33,2,0,4,0,4,6,0,0,1,98.0,4800.0,7.0,35380.0
60,Yonex_All_England_Open,2018-03-15,1,MD,6,0,51,7,14,47,1.0,89,,21,17,20.0,22.0,21.0,13.0,62,52,2,1,4,2,6,6,6,0,0,2.0,18400.0,19.0,7450.0
61,Blibli_Indonesia_Open,2018-07-03,2,MD,6,0,60,2,14,29,8.0,31,,21,17,19.0,21.0,21.0,15.0,61,53,2,1,4,1,4,3,1,3,1,11.0,19790.0,2.0,29240.0
62,Victor_China_Open,2018-09-21,0,MD,4,0,23,7,10,47,1.0,100,,21,13,21.0,12.0,,,42,25,2,0,3,0,7,2,2,0,0,1.0,48450.0,98.0,4800.0
63,Victor_China_Open,2018-09-20,0,MD,6,0,42,0,10,18,,26,,21,17,12.0,21.0,21.0,17.0,54,55,2,1,2,2,4,5,1,2,1,26.0,23980.0,2.0,38320.0
64,Yonex_All_England_Open,2018-03-15,1,MD,6,0,63,2,9,49,2.0,103,,21,16,16.0,21.0,23.0,21.0,60,58,2,1,4,2,5,4,3,1,0,13.0,10600.0,15.0,10020.0
65,Blibli_Indonesia_Open,2018-07-04,2,MD,6,0,53,0,9,37,3.0,4,,15,21,21.0,15.0,21.0,17.0,57,53,2,1,3,1,6,5,0,1,1,24.0,14460.0,9.0,20680.0
66,Yonex_All_England_Open,2019-03-06,1,MD,6,0,67,0,10,37,,79,1.0,21,19,20.0,22.0,21.0,17.0,62,58,2,1,2,4,4,5,1,5,1,50.0,2750.0,2.0,18400.0
67,Blibli_Indonesia_Open,2018-07-04,2,MD,6,0,35,7,10,47,1.0,84,,21,16,18.0,21.0,21.0,10.0,60,47,2,1,2,2,10,3,10,2,0,1.0,30400.0,17.0,16120.0
