,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
0,Yonex_All_England_Open,2018-03-18,England,MS,6,0,75,China,China,Shi Yu Qi,7.0,Lin Dan,6.0,21,19,16.0,21.0,21.0,9.0,58,49,2,1,3,1,7,3,4,2,0,8,14100,26,8290
1,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,6,0,59,Japan,Denmark,Kanta Tsuneyama,,Jan O Jorgensen,,12,21,21.0,17.0,21.0,6.0,54,44,2,1,3,1,9,5,1,0,1,63,7970,32,13650
2,Blibli_Indonesia_Open,2018-07-04,Indonesia,MS,6,0,68,Indonesia,Thailand,Tommy Sugiarto,,Khosit Phetpradab,,20,22,21.0,10.0,21.0,16.0,62,48,2,1,7,1,7,5,1,0,0,1,28920,21,15260
3,Yonex_All_England_Open,2018-03-17,England,MS,4,0,45,China,Korea,Shi Yu Qi,7.0,Son Wan Ho,5.0,21,17,21.0,14.0,,,42,31,2,0,3,0,7,4,5,4,0,8,14100,17,10310
4,Blibli_Indonesia_Open,2018-07-06,Indonesia,MS,4,0,38,Japan,Indonesia,Kento Momota,,Tommy Sugiarto,,21,11,21.0,15.0,,,42,26,2,0,4,0,6,4,8,3,1,24,17050,1,36620
5,Blibli_Indonesia_Open,2018-07-05,Indonesia,MS,4,0,49,Japan,Indonesia,Kento Momota,,Anthony Sinisuka Ginting,,21,14,21.0,15.0,,,42,29,2,0,4,0,7,8,10,5,1,24,17050,10,23750
6,Blibli_Indonesia_Open,2018-07-06,Indonesia,MS,4,0,43,Malaysia,Thailand,Lee Chong Wei,7.0,Kantaphon Wangcharoen,,21,13,22.0,20.0,,,43,33,2,0,3,0,7,4,0,0,1,19,19820,5,30390
7,Blibli_Indonesia_Open,2018-07-08,Indonesia,MS,4,0,38,Japan,Denmark,Kento Momota,,Viktor Axelsen,1.0,21,14,21.0,9.0,,,42,23,2,0,2,0,6,3,13,5,1,24,17050,22,18850
8,Yonex_All_England_Open,2018-03-17,England,MS,6,0,61,China,China,Lin Dan,6.0,Huang Yu Xiang,,21,14,13.0,21.0,21.0,11.0,55,46,2,1,3,1,4,4,1,0,1,26,8290,25,8570
9,Yonex_All_England_Open,2018-03-15,England,MS,6,0,64,Malaysia,Korea,Lee Chong Wei,2.0,Lee Dong Keun,,21,6,13.0,21.0,21.0,18.0,55,45,2,1,2,1,7,7,3,0,0,76,2220,83,1670
10,Blibli_Indonesia_Open,2018-07-07,Indonesia,MS,6,0,52,Denmark,China,Viktor Axelsen,1.0,Shi Yu Qi,3.0,18,21,21.0,14.0,21.0,11.0,60,46,2,1,3,1,5,4,9,3,1,22,18850,3,32150
11,Blibli_Indonesia_Open,2018-07-04,Indonesia,MS,4,0,38,Indonesia,Netherlands,Anthony Sinisuka Ginting,,Mark Caljouw,,21,9,21.0,17.0,,,42,26,2,0,3,0,8,2,0,0,1,12,21090,8,22060
12,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,6,0,86,France,China,Brice Leverdez,,Chen Long,5.0,17,21,22.0,20.0,21.0,19.0,60,60,2,1,2,2,10,8,0,6,0,23,14620,31,13860
13,Yonex_All_England_Open,2018-03-16,England,MS,4,0,52,China,Malaysia,Lin Dan,6.0,Lee Chong Wei,2.0,21,16,21.0,17.0,,,42,33,2,0,2,0,6,4,12,6,0,26,8290,76,2220
14,Blibli_Indonesia_Open,2018-07-06,Indonesia,MS,4,0,34,Denmark,Japan,Viktor Axelsen,1.0,Kanta Tsuneyama,,21,11,21.0,10.0,,,42,21,2,0,2,0,6,2,5,1,0,22,18850,54,10630
15,Blibli_Indonesia_Open,2018-07-07,Indonesia,MS,4,0,52,Japan,Malaysia,Kento Momota,,Lee Chong Wei,7.0,23,21,21.0,12.0,,,44,33,2,0,7,1,8,4,1,2,1,24,17050,19,19820
16,Yonex_All_England_Open,2018-03-14,England,MS,6,0,58,India,France,Kidambi Srikanth,3.0,Brice Leverdez,,7,21,21.0,14.0,22.0,20.0,50,55,2,1,2,2,4,6,4,1,1,60,3600,28,7200
17,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,6,0,60,India,China,Prannoy H. S.,8.0,Lin Dan,,21,15,9.0,21.0,21.0,14.0,51,50,2,1,3,2,5,8,2,2,1,53,8820,2,27160
18,Blibli_Indonesia_Open,2018-07-03,Indonesia,MS,4,0,35,Chinesetaipei,India,Wang Tzu Wei,,Sai Praneeth B.,,21,10,21.0,13.0,,,42,23,2,0,3,0,9,4,3,0,1,16,18710,13,20390
19,Yonex_All_England_Open,2018-03-15,England,MS,4,0,45,Japan,Hongkong,Kenta Nishimoto,,Ng Ka Long Angus,,21,12,21.0,15.0,,,42,27,2,0,4,0,8,3,6,3,1,13,12700,11,13210
20,Yonex_All_England_Open,2018-03-14,England,MS,4,0,46,China,Denmark,Lin Dan,6.0,Hans-Kristian Solberg Vittinghus,,21,19,21.0,16.0,,,42,35,2,0,4,0,7,4,4,1,1,48,4440,8,13680
