,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
0,Yonex_All_England_Open,2018-03-18,1,MS,6,0,75,1,3,47,7.0,41,6.0,21,19,16.0,21.0,21.0,9.0,58,49,2,1,3,1,7,3,4,2,0,8.0,14100.0,26.0,8290.0
1,Blibli_Indonesia_Open,2018-07-03,2,MS,6,0,59,9,5,13,,14,,12,21,21.0,17.0,21.0,6.0,54,44,2,1,3,1,9,5,1,0,1,63.0,7970.0,32.0,13650.0
2,Blibli_Indonesia_Open,2018-07-04,2,MS,6,0,68,7,19,53,,24,,20,22,21.0,10.0,21.0,16.0,62,48,2,1,7,1,7,5,1,0,0,1.0,28920.0,21.0,15260.0
3,Yonex_All_England_Open,2018-03-17,1,MS,4,0,45,1,14,47,7.0,62,5.0,21,17,21.0,14.0,,,42,31,2,0,3,0,7,4,5,4,0,8.0,14100.0,17.0,10310.0
4,Blibli_Indonesia_Open,2018-07-06,2,MS,4,0,38,9,10,17,,69,,21,11,21.0,15.0,,,42,26,2,0,4,0,6,4,8,3,1,24.0,17050.0,1.0,36620.0
5,Blibli_Indonesia_Open,2018-07-05,2,MS,4,0,49,9,10,17,,1,,21,14,21.0,15.0,,,42,29,2,0,4,0,7,8,10,5,1,24.0,17050.0,10.0,23750.0
6,Blibli_Indonesia_Open,2018-07-06,2,MS,4,0,43,11,19,25,7.0,20,,21,13,22.0,20.0,,,43,33,2,0,3,0,7,4,0,0,1,19.0,19820.0,5.0,30390.0
7,Blibli_Indonesia_Open,2018-07-08,2,MS,4,0,38,9,5,17,,70,1.0,21,14,21.0,9.0,,,42,23,2,0,2,0,6,3,13,5,1,24.0,17050.0,22.0,18850.0
8,Yonex_All_England_Open,2018-03-17,1,MS,6,0,61,1,3,33,6.0,13,,21,14,13.0,21.0,21.0,11.0,55,46,2,1,3,1,4,4,1,0,1,26.0,8290.0,25.0,8570.0
9,Yonex_All_England_Open,2018-03-15,1,MS,6,0,64,11,14,25,2.0,33,,21,6,13.0,21.0,21.0,18.0,55,45,2,1,2,1,7,7,3,0,0,76.0,2220.0,83.0,1670.0
