,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
0,Yonex_All_England_Open,2018-03-16,England,WD,6,0,80,Japan,China,"Shiho Tanaka, Koharu Yonemoto",5.0,"Chen Qing Chen, Jia Yi Fan",1.0,14,21,21.0,17.0,21.0,15.0,56,53,2,1,3,1,7,6,3,2,1,65,2750,5,15250
1,Yonex_All_England_Open,2018-03-15,England,WD,4,0,39,Japan,Indonesia,"Misaki Matsutomo, Ayaka Takahashi",2.0,"Della Destiara Haris, Rizki Amelia Pradipta",,21,12,21.0,14.0,,,42,26,2,0,3,0,7,5,5,0,1,8,14240,4,16680
2,Blibli_Indonesia_Open,2018-07-05,Indonesia,WD,4,0,33,Korea,Indonesia,"Lee So Hee, Shin Seung Chan",6.0,"Dian Fitriani, Nadya Melati",,21,12,21.0,10.0,,,42,22,2,0,3,0,6,4,0,1,0,9,21110,,
3,Blibli_Indonesia_Open,2018-07-06,Indonesia,WD,4,0,50,Japan,Indonesia,"Yuki Fukushima, Sayaka Hirota",2.0,"Greysia Polii, Apriyani Rahayu",7.0,21,14,22.0,20.0,,,43,34,2,0,4,3,5,3,7,4,0,4,23620,12,20000
4,Yonex_All_England_Open,2018-03-17,England,WD,4,0,42,Denmark,Japan,"Kamilla Rytter Juhl, Christinna Pedersen",3.0,"Mayu Matsumoto, Wakana Nagahara",,21,15,22.0,20.0,,,43,35,2,0,5,0,5,4,0,1,0,2,22040,65,2750
5,Yonex_All_England_Open,2018-03-18,England,WD,4,0,60,Denmark,Japan,"Kamilla Rytter Juhl, Christinna Pedersen",3.0,"Yuki Fukushima, Sayaka Hirota",4.0,21,19,21.0,18.0,,,42,37,2,0,2,0,4,3,1,2,0,2,22040,9,13420
6,Yonex_All_England_Open,2018-03-14,England,WD,4,0,48,Bulgaria,Indonesia,"Gabriela Stoeva, Stefani Stoeva",,"Greysia Polii, Apriyani Rahayu",6.0,21,11,21.0,19.0,,,42,30,2,0,2,0,5,6,0,4,1,32,5950,3,17000
7,Blibli_Indonesia_Open,2018-07-08,Indonesia,WD,6,0,56,Japan,Japan,"Yuki Fukushima, Sayaka Hirota",2.0,"Mayu Matsumoto, Wakana Nagahara",,21,14,16.0,21.0,21.0,14.0,58,49,2,1,2,4,3,8,6,8,0,4,23620,26,11150
8,Blibli_Indonesia_Open,2018-07-07,Indonesia,WD,4,0,39,Japan,China,"Mayu Matsumoto, Wakana Nagahara",,"Chen Qing Chen, Jia Yi Fan",1.0,21,13,21.0,18.0,,,42,31,2,0,3,0,7,5,1,12,1,26,11150,6,21850
9,Yonex_All_England_Open,2018-03-14,England,WD,4,0,37,Japan,India,"Misaki Matsutomo, Ayaka Takahashi",2.0,"Ashwini Ponnappa, Reddy Sikki",,21,14,21.0,13.0,,,42,27,2,0,2,0,5,4,7,0,0,4,14240,10,8640
10,Yonex_All_England_Open,2018-03-17,England,WD,6,0,71,Japan,Japan,"Yuki Fukushima, Sayaka Hirota",4.0,"Shiho Tanaka, Koharu Yonemoto",5.0,16,21,21.0,10.0,21.0,12.0,58,43,2,1,3,1,5,6,5,2,0,9,13420,65,2750
11,Blibli_Indonesia_Open,2018-07-07,Indonesia,WD,6,0,69,Japan,Japan,"Yuki Fukushima, Sayaka Hirota",2.0,"Misaki Matsutomo, Ayaka Takahashi",5.0,25,23,12.0,21.0,21.0,13.0,58,57,2,1,3,4,5,10,6,4,0,4,23620,11,20840
12,Blibli_Indonesia_Open,2018-07-06,Indonesia,WD,6,0,77,Japan,China,"Misaki Matsutomo, Ayaka Takahashi",5.0,"Huang Dong Ping, Li Wen Mei",,13,21,21.0,12.0,21.0,19.0,55,52,2,1,2,2,5,4,1,0,0,11,20840,23,11940
13,Yonex_All_England_Open,2018-03-16,England,WD,4,0,45,Denmark,Korea,"Kamilla Rytter Juhl, Christinna Pedersen",3.0,"Lee So Hee, Shin Seung Chan",7.0,21,15,21.0,14.0,,,42,29,2,0,3,0,3,3,1,0,0,2,22040,7,14510
14,Victor_China_Open,2018-09-19,China,WD,4,0,32,China,Japan,"Tang Jin Hua, Yu Xiao Han",,"Naoko Fukuman, Kurumi Yonao",,21,11,21.0,10.0,,,42,21,2,0,2,0,7,4,0,0,0,10,33070,14,29080
15,Blibli_Indonesia_Open,2018-07-03,Indonesia,WD,4,0,35,Malaysia,Indonesia,"Vivian Hoo, Yap Cheng Wen",,"Yulfira Barkah, Nitya Krishinda Maheswari",,21,18,21.0,19.0,,,42,37,2,0,5,0,5,4,0,0,1,61,5820,41,8570
16,Yonex_All_England_Open,2018-03-15,England,WD,6,0,86,Denmark,China,"Kamilla Rytter Juhl, Christinna Pedersen",3.0,"Du Yue, Li Yin Hui",,24,22,22.0,24.0,21.0,16.0,67,62,2,1,3,6,4,4,0,0,0,2,22040,15,9170
17,Blibli_Indonesia_Open,2018-07-05,Indonesia,WD,4,0,44,Japan,Malaysia,"Yuki Fukushima, Sayaka Hirota",2.0,"Vivian Hoo, Yap Cheng Wen",,21,19,23.0,21.0,,,44,40,2,0,5,0,5,3,1,0,0,4,23620,61,5820
18,Blibli_Indonesia_Open,2018-07-06,Indonesia,WD,4,0,36,Japan,Chinesetaipei,"Mayu Matsumoto, Wakana Nagahara",,"Hsu Ya Ching, Wu Ti Jung",,21,17,21.0,19.0,,,42,36,2,0,6,0,6,4,2,0,0,26,11150,29,10490
19,Yonex_All_England_Open,2018-03-16,England,WD,4,0,48,Japan,Thailand,"Yuki Fukushima, Sayaka Hirota",4.0,"Jongkolphan Kititharakul, Rawinda Prajongjai",8.0,21,16,21.0,18.0,,,42,34,2,0,2,0,4,4,7,3,1,9,13420,1,23690
20,Blibli_Indonesia_Open,2018-07-04,Indonesia,WD,4,0,39,Malaysia,Indonesia,"Chow Mei Kuan, Lee Meng Yean",,"Keshya Nurvita Hanadia, Devi Tika Permatasari",,25,23,21.0,13.0,,,46,36,2,0,5,1,4,5,0,1,0,30,10170,58,6110
