,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
0,Yonex_All_England_Open,2018-03-16,1,WD,6,0,80,12,4,66,5.0,26,1.0,14,21,21.0,17.0,21.0,15.0,56,53,2,1,3,1,7,6,3,2,1,65.0,2750.0,5.0,15250.0
1,Yonex_All_England_Open,2018-03-15,1,WD,4,0,39,12,14,54,2.0,36,,21,12,21.0,14.0,,,42,26,2,0,3,0,7,5,5,0,1,8.0,14240.0,4.0,16680.0
2,Blibli_Indonesia_Open,2018-07-05,2,WD,4,0,33,13,14,43,6.0,39,,21,12,21.0,10.0,,,42,22,2,0,3,0,6,4,0,1,0,9.0,21110.0,,
3,Blibli_Indonesia_Open,2018-07-06,2,WD,4,0,50,12,14,76,2.0,54,7.0,21,14,22.0,20.0,,,43,34,2,0,4,3,5,3,7,4,0,4.0,23620.0,12.0,20000.0
4,Yonex_All_England_Open,2018-03-17,1,WD,4,0,42,5,15,38,3.0,97,,21,15,22.0,20.0,,,43,35,2,0,5,0,5,4,0,1,0,2.0,22040.0,65.0,2750.0
5,Yonex_All_England_Open,2018-03-18,1,WD,4,0,60,5,15,38,3.0,139,4.0,21,19,21.0,18.0,,,42,37,2,0,2,0,4,3,1,2,0,2.0,22040.0,9.0,13420.0
6,Yonex_All_England_Open,2018-03-14,1,WD,4,0,48,1,14,30,,54,6.0,21,11,21.0,19.0,,,42,30,2,0,2,0,5,6,0,4,1,32.0,5950.0,3.0,17000.0
7,Blibli_Indonesia_Open,2018-07-08,2,WD,6,0,56,12,15,76,2.0,97,,21,14,16.0,21.0,21.0,14.0,58,49,2,1,2,4,3,8,6,8,0,4.0,23620.0,26.0,11150.0
8,Blibli_Indonesia_Open,2018-07-07,2,WD,4,0,39,12,4,52,,26,1.0,21,13,21.0,18.0,,,42,31,2,0,3,0,7,5,1,12,1,26.0,11150.0,6.0,21850.0
9,Yonex_All_England_Open,2018-03-14,1,WD,4,0,37,12,13,54,2.0,12,,21,14,21.0,13.0,,,42,27,2,0,2,0,5,4,7,0,0,4.0,14240.0,10.0,8640.0
10,Yonex_All_England_Open,2018-03-17,1,WD,6,0,71,12,15,76,4.0,125,5.0,16,21,21.0,10.0,21.0,12.0,58,43,2,1,3,1,5,6,5,2,0,9.0,13420.0,65.0,2750.0
11,Blibli_Indonesia_Open,2018-07-07,2,WD,6,0,69,12,15,76,2.0,101,5.0,25,23,12.0,21.0,21.0,13.0,58,57,2,1,3,4,5,10,6,4,0,4.0,23620.0,11.0,20840.0
12,Blibli_Indonesia_Open,2018-07-06,2,WD,6,0,77,12,4,54,5.0,59,,13,21,21.0,12.0,21.0,19.0,55,52,2,1,2,2,5,4,1,0,0,11.0,20840.0,23.0,11940.0
13,Yonex_All_England_Open,2018-03-16,1,WD,4,0,45,5,16,38,3.0,84,7.0,21,15,21.0,14.0,,,42,29,2,0,3,0,3,3,1,0,0,2.0,22040.0,7.0,14510.0
14,Victor_China_Open,2018-09-19,0,WD,4,0,32,3,15,70,,105,,21,11,21.0,10.0,,,42,21,2,0,2,0,7,4,0,0,0,10.0,33070.0,14.0,29080.0
15,Blibli_Indonesia_Open,2018-07-03,2,WD,4,0,35,14,14,74,,141,,21,18,21.0,19.0,,,42,37,2,0,5,0,5,4,0,0,1,61.0,5820.0,41.0,8570.0
16,Yonex_All_England_Open,2018-03-15,1,WD,6,0,86,5,4,38,3.0,43,,24,22,22.0,24.0,21.0,16.0,67,62,2,1,3,6,4,4,0,0,0,2.0,22040.0,15.0,9170.0
17,Blibli_Indonesia_Open,2018-07-05,2,WD,4,0,44,12,17,76,2.0,137,,21,19,23.0,21.0,,,44,40,2,0,5,0,5,3,1,0,0,4.0,23620.0,61.0,5820.0
18,Blibli_Indonesia_Open,2018-07-06,2,WD,4,0,36,12,5,52,,58,,21,17,21.0,19.0,,,42,36,2,0,6,0,6,4,2,0,0,26.0,11150.0,29.0,10490.0
19,Yonex_All_England_Open,2018-03-16,1,WD,4,0,48,12,25,76,4.0,71,8.0,21,16,21.0,18.0,,,42,34,2,0,2,0,4,4,7,3,1,9.0,13420.0,1.0,23690.0
20,Blibli_Indonesia_Open,2018-07-04,2,WD,4,0,39,14,14,21,,77,,25,23,21.0,13.0,,,46,36,2,0,5,1,4,5,0,1,0,30.0,10170.0,58.0,6110.0
21,Blibli_Indonesia_Open,2018-07-06,2,WD,4,0,35,3,16,18,1.0,84,6.0,21,14,21.0,14.0,,,42,28,2,0,7,0,5,5,4,1,0,6.0,21850.0,9.0,21110.0
22,Victor_China_Open,2018-09-20,0,WD,4,0,31,12,4,76,1.0,41,,21,7,21.0,12.0,,,42,19,2,0,4,0,7,2,2,0,0,2.0,54320.0,37.0,16110.0
23,Blibli_Indonesia_Open,2018-07-04,2,WD,6,0,62,3,16,18,1.0,22,,13,21,21.0,17.0,21.0,17.0,55,55,2,1,2,2,6,4,5,0,0,6.0,21850.0,40.0,8640.0
24,Yonex_All_England_Open,2018-03-16,1,WD,4,0,50,12,15,52,,101,2.0,21,17,25.0,23.0,,,46,40,2,0,5,3,5,4,3,4,1,65.0,2750.0,8.0,14240.0
25,Yonex_All_England_Open,2018-03-15,1,WD,4,0,41,12,14,66,5.0,5,,21,18,21.0,15.0,,,42,33,2,0,5,0,7,4,0,1,1,65.0,2750.0,6.0,14520.0
26,Yonex_All_England_Open,2018-03-15,1,WD,4,0,36,12,16,76,4.0,79,,21,13,21.0,13.0,,,42,26,2,0,3,0,7,5,4,2,0,9.0,13420.0,65.0,2750.0
27,Victor_China_Open,2018-09-20,0,WD,4,0,46,5,4,49,,43,,21,18,21.0,19.0,,,42,37,2,0,4,0,4,3,0,3,1,14.0,32680.0,10.0,39690.0
28,Blibli_Indonesia_Open,2018-07-04,2,WD,6,0,52,13,2,43,6.0,52,,21,15,10.0,21.0,22.0,20.0,53,56,2,1,6,1,4,5,7,2,1,9.0,21110.0,7.0,21150.0
29,Victor_China_Open,2018-09-22,0,WD,4,0,33,12,2,52,8.0,52,,21,16,21.0,12.0,,,42,28,2,0,4,0,4,2,7,0,0,6.0,45490.0,12.0,33800.0
30,Blibli_Indonesia_Open,2018-07-03,2,WD,4,0,40,12,14,76,2.0,36,,21,16,21.0,18.0,,,42,34,2,0,8,0,5,5,3,0,1,4.0,23620.0,3.0,25330.0
31,Victor_China_Open,2018-09-20,0,WD,6,0,68,12,4,66,5.0,18,,22,20,15.0,21.0,21.0,14.0,58,55,2,1,5,2,9,5,1,0,0,19.0,27690.0,27.0,22040.0
32,Victor_China_Open,2018-09-20,0,WD,4,0,51,11,16,31,4.0,22,,24,22,21.0,18.0,,,45,40,2,0,5,0,4,4,1,0,0,7.0,43500.0,30.0,20280.0
33,Victor_China_Open,2018-09-19,0,WD,4,0,22,3,27,18,3.0,46,,21,11,21.0,13.0,,,42,24,2,0,2,0,7,3,0,0,0,6.0,39600.0,70.0,7380.0
34,Victor_China_Open,2018-09-22,0,WD,6,0,77,12,14,54,2.0,54,4.0,21,17,12.0,21.0,21.0,16.0,54,54,2,1,2,1,6,6,9,2,0,4.0,50700.0,7.0,43500.0
35,Victor_China_Open,2018-09-21,0,WD,4,0,44,11,15,31,4.0,125,5.0,21,19,21.0,16.0,,,42,35,2,0,3,0,6,5,2,1,0,7.0,43500.0,19.0,27690.0
36,Yonex_All_England_Open,2018-03-15,1,WD,4,0,43,3,6,18,1.0,93,,26,24,21.0,11.0,,,47,35,2,0,4,4,5,4,8,0,0,5.0,15250.0,10.0,11340.0
37,Blibli_Indonesia_Open,2018-07-04,2,WD,6,0,41,4,6,33,,75,3.0,17,21,21.0,5.0,21.0,9.0,59,35,2,1,2,3,8,4,0,2,1,29.0,10490.0,1.0,34040.0
38,Victor_China_Open,2018-09-19,0,WD,4,0,26,1,25,30,,133,,21,15,21.0,7.0,,,42,22,2,0,3,0,8,4,0,0,0,16.0,27750.0,,
39,Blibli_Indonesia_Open,2018-07-04,2,WD,6,0,68,12,15,52,,105,,26,24,19.0,21.0,25.0,23.0,70,68,2,1,5,10,4,4,0,0,1,26.0,11150.0,24.0,11750.0
40,Victor_China_Open,2018-09-18,0,WD,4,0,21,12,19,54,2.0,44,,21,9,21.0,9.0,,,42,18,2,0,3,0,7,3,2,0,0,3.0,48040.0,74.0,6540.0
