,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
0,Blibli_Indonesia_Open,2018-07-03,Indonesia,WS,4,0,35,Thailand,Indonesia,Ratchanok Intanon,4.0,Fitriani Fitriani,,21,8,21.0,16.0,,,42,24,2,0,5,0,9,3,7,0,0,2,25040,25,15040
1,Yonex_All_England_Open,2018-03-14,England,WS,6,0,67,Canada,Thailand,Michelle Li,,Ratchanok Intanon,3.0,21,15,14.0,21.0,21.0,19.0,56,55,2,1,2,1,6,5,1,7,1,33,5820,1,22040
2,Yonex_All_England_Open,2018-03-18,England,WS,4,0,45,Chinesetaipei,Japan,Tai Tzu Ying,1.0,Akane Yamaguchi,2.0,22,20,21.0,13.0,,,43,33,2,0,2,1,4,4,11,12,0,3,17000,7,13420
3,Blibli_Indonesia_Open,2018-07-07,Indonesia,WS,6,0,83,China,Korea,Chen Yu Fei,5.0,Sung Jihyun,7.0,21,23,21.0,18.0,23.0,21.0,65,62,2,1,4,3,8,4,9,1,0,7,21610,28,14110
4,Yonex_All_England_Open,2018-03-16,England,WS,4,0,32,Chinesetaipei,Japan,Tai Tzu Ying,1.0,Aya Ohori,,21,12,21.0,13.0,,,42,25,2,0,3,0,5,5,9,2,0,3,17000,26,8570
5,Blibli_Indonesia_Open,2018-07-07,Indonesia,WS,4,0,31,Chinesetaipei,China,Tai Tzu Ying,1.0,He Bing Jiao,8.0,21,13,21.0,18.0,,,42,31,2,0,2,0,4,3,15,4,0,1,29000,27,14460
6,Blibli_Indonesia_Open,2018-07-03,Indonesia,WS,4,0,43,Japan,Thailand,Akane Yamaguchi,2.0,Nitchaon Jindapol,,21,15,21.0,19.0,,,42,34,2,0,2,0,4,3,5,0,1,5,23620,4,23900
7,Yonex_All_England_Open,2018-03-15,England,WS,6,0,66,India,Thailand,Pusarla V. Sindhu,4.0,Nitchaon Jindapol,,21,13,13.0,21.0,21.0,18.0,55,52,2,1,3,1,6,7,4,2,1,10,12840,2,19100
8,Yonex_All_England_Open,2018-03-17,England,WS,6,0,64,Chinesetaipei,China,Tai Tzu Ying,1.0,Chen Yu Fei,8.0,21,15,20.0,22.0,21.0,13.0,62,50,2,1,4,5,6,4,18,9,0,3,17000,8,13210
9,Blibli_Indonesia_Open,2018-07-08,Indonesia,WS,6,0,54,Chinesetaipei,China,Tai Tzu Ying,1.0,Chen Yu Fei,5.0,21,23,21.0,15.0,21.0,9.0,63,47,2,1,3,2,6,5,18,9,0,1,29000,7,21610
10,Yonex_All_England_Open,2018-03-16,England,WS,6,0,84,India,Japan,Pusarla V. Sindhu,4.0,Nozomi Okuhara,7.0,20,22,21.0,18.0,21.0,18.0,62,58,2,1,3,1,5,5,9,10,0,10,12840,18,9940
