,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
0,Blibli_Indonesia_Open,2018-07-03,2,WS,4,0,35,17,12,41,4.0,21,,21,8,21.0,16.0,,,42,24,2,0,5,0,9,3,7,0,0,2.0,25040.0,25.0,15040.0
1,Yonex_All_England_Open,2018-03-14,1,WS,6,0,67,1,25,32,,63,3.0,21,15,14.0,21.0,21.0,19.0,56,55,2,1,2,1,6,5,1,7,1,33.0,5820.0,1.0,22040.0
2,Yonex_All_England_Open,2018-03-18,1,WS,4,0,45,3,14,51,1.0,1,2.0,22,20,21.0,13.0,,,43,33,2,0,2,1,4,4,11,12,0,3.0,17000.0,7.0,13420.0
3,Blibli_Indonesia_Open,2018-07-07,2,WS,6,0,83,2,15,9,5.0,72,7.0,21,23,21.0,18.0,23.0,21.0,65,62,2,1,4,3,8,4,9,1,0,7.0,21610.0,28.0,14110.0
4,Yonex_All_England_Open,2018-03-16,1,WS,4,0,32,3,14,51,1.0,4,,21,12,21.0,13.0,,,42,25,2,0,3,0,5,5,9,2,0,3.0,17000.0,26.0,8570.0
5,Blibli_Indonesia_Open,2018-07-07,2,WS,4,0,31,3,3,51,1.0,26,8.0,21,13,21.0,18.0,,,42,31,2,0,2,0,4,3,15,4,0,1.0,29000.0,27.0,14460.0
6,Blibli_Indonesia_Open,2018-07-03,2,WS,4,0,43,10,25,0,2.0,55,,21,15,21.0,19.0,,,42,34,2,0,2,0,4,3,5,0,1,5.0,23620.0,4.0,23900.0
7,Yonex_All_England_Open,2018-03-15,1,WS,6,0,66,8,25,39,4.0,55,,21,13,13.0,21.0,21.0,18.0,55,52,2,1,3,1,6,7,4,2,1,10.0,12840.0,2.0,19100.0
8,Yonex_All_England_Open,2018-03-17,1,WS,6,0,64,3,3,51,1.0,12,8.0,21,15,20.0,22.0,21.0,13.0,62,50,2,1,4,5,6,4,18,9,0,3.0,17000.0,8.0,13210.0
9,Blibli_Indonesia_Open,2018-07-08,2,WS,6,0,54,3,3,51,1.0,12,5.0,21,23,21.0,15.0,21.0,9.0,63,47,2,1,3,2,6,5,18,9,0,1.0,29000.0,7.0,21610.0
10,Yonex_All_England_Open,2018-03-16,1,WS,6,0,84,8,14,39,4.0,56,7.0,20,22,21.0,18.0,21.0,18.0,62,58,2,1,3,1,5,5,9,10,0,10.0,12840.0,18.0,9940.0
11,Yonex_All_England_Open,2018-03-14,1,WS,4,0,38,3,11,51,1.0,67,,21,14,21.0,18.0,,,42,32,2,0,2,0,7,4,15,5,0,2.0,17000.0,6.0,12840.0
12,Blibli_Indonesia_Open,2018-07-06,2,WS,4,0,36,11,25,48,7.0,63,4.0,21,12,21.0,12.0,,,42,24,2,0,5,0,8,3,9,13,1,28.0,14110.0,2.0,25040.0
13,Yonex_All_England_Open,2018-03-17,1,WS,6,0,80,10,11,0,2.0,60,4.0,19,21,21.0,19.0,21.0,18.0,61,58,2,1,3,2,7,6,10,15,0,7.0,13420.0,10.0,12840.0
14,Blibli_Indonesia_Open,2018-07-04,2,WS,4,0,34,3,14,51,1.0,66,,21,11,23.0,21.0,,,44,32,2,0,3,1,5,4,3,0,0,1.0,29000.0,56.0,8650.0
15,Yonex_All_England_Open,2018-03-16,1,WS,4,0,52,10,23,0,2.0,10,5.0,21,15,21.0,18.0,,,42,33,2,0,2,0,5,4,7,10,1,7.0,13420.0,4.0,16500.0
16,Blibli_Indonesia_Open,2018-07-03,2,WS,4,0,25,9,4,17,,38,,21,13,21.0,7.0,,,42,20,2,0,2,0,5,3,2,0,0,32.0,12950.0,36.0,12160.0
17,Blibli_Indonesia_Open,2018-07-06,2,WS,4,0,37,2,11,19,8.0,60,3.0,21,14,21.0,15.0,,,42,29,2,0,7,0,6,4,11,10,1,27.0,14460.0,8.0,21240.0
18,Blibli_Indonesia_Open,2018-07-05,2,WS,6,0,61,17,12,41,4.0,24,,21,11,17.0,21.0,21.0,14.0,59,46,2,1,3,1,5,4,8,2,0,2.0,25040.0,32.0,12950.0
19,Yonex_All_England_Open,2018-03-15,1,WS,4,0,38,3,25,51,1.0,8,,21,15,21.0,11.0,,,42,26,2,0,2,0,9,4,16,4,0,3.0,17000.0,50.0,4440.0
20,Blibli_Indonesia_Open,2018-07-06,2,WS,4,0,31,3,20,51,1.0,32,,21,16,21.0,11.0,,,42,27,2,0,3,0,5,3,4,0,0,1.0,29000.0,43.0,10490.0
21,Blibli_Indonesia_Open,2018-07-05,2,WS,4,0,41,2,11,9,5.0,67,,21,18,21.0,15.0,,,42,33,2,0,5,0,6,5,3,1,0,7.0,21610.0,23.0,15840.0
