,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
0,Yonex_All_England_Open,2018-03-18,England,XD,6,0,62,Japan,China,"Yuta Watanabe, Arisa Higashino",,"Zheng Si Wei, Huang Ya Qiong",5.0,15,21,22.0,20.0,21.0,16.0,58,57,2,1,3,3,7,4,4,15,1,33,7190,3,17000
1,Yonex_All_England_Open,2018-03-17,England,XD,4,0,43,Japan,China,"Yuta Watanabe, Arisa Higashino",,"Zhang Nan, Li Yin Hui",8.0,21,14,21.0,18.0,,,42,32,2,0,2,0,6,4,0,2,1,33,7190,30,7260
2,Blibli_Indonesia_Open,2018-07-06,Indonesia,XD,4,0,33,Indonesia,China,"Tontowi Ahmad, Liliyana Natsir",1.0,"Zhang Nan, Li Yin Hui",5.0,21,17,21.0,14.0,,,42,31,2,0,3,0,10,5,3,0,0,20,18650,35,12720
3,Blibli_Indonesia_Open,2018-07-05,Indonesia,XD,4,0,40,Indonesia,Thailand,"Ricky Karandasuwardi, Debby Susanto",,"Dechapol Puavaranukroh, Sapsiree Taerattanachai",,21,14,21.0,19.0,,,42,33,2,0,3,0,4,5,0,1,1,26,14920,18,19600
4,Blibli_Indonesia_Open,2018-07-04,Indonesia,XD,4,0,37,Chinesetaipei,Indonesia,"Wang Chi-Lin, Lee Chia Hsin",,"Riky Widianto, Masita Mahmudin",,21,12,26.0,24.0,,,47,36,2,0,4,3,6,4,0,0,0,14,19950,100,3100
5,Yonex_All_England_Open,2018-03-15,England,XD,4,0,33,Indonesia,England,"Praveen Jordan, Debby Susanto",4.0,"Marcus Ellis, Lauren Smith",,21,12,21.0,17.0,,,42,29,2,0,7,0,6,5,0,0,0,2,21670,19,9800
6,Blibli_Indonesia_Open,2018-07-07,Indonesia,XD,4,0,30,Indonesia,Indonesia,"Tontowi Ahmad, Liliyana Natsir",1.0,"Hafiz Faizal, Gloria Emanuelle Widjaja",,21,18,21.0,8.0,,,42,26,2,0,3,0,6,3,1,1,1,20,18650,4,28950
7,Blibli_Indonesia_Open,2018-07-05,Indonesia,XD,4,0,38,Indonesia,Japan,"Tontowi Ahmad, Liliyana Natsir",1.0,"Yugo Kobayashi, Misaki Matsutomo",,23,21,21.0,19.0,,,44,40,2,0,9,0,6,4,0,0,0,20,18650,84,4320
8,Yonex_All_England_Open,2018-03-16,England,XD,4,0,45,Denmark,Indonesia,"Mathias Christiansen, Christinna Pedersen",6.0,"Praveen Jordan, Debby Susanto",4.0,21,16,21.0,15.0,,,42,31,2,0,2,0,4,4,0,0,1,5,16400,2,21670
9,Blibli_Indonesia_Open,2018-07-07,Indonesia,XD,4,0,36,Malaysia,China,"Chan Peng Soon, Goh Liu Ying",,"Zheng Si Wei, Huang Ya Qiong",4.0,21,18,21.0,16.0,,,42,34,2,0,2,0,4,4,0,3,0,1,40190,2,38200
10,Blibli_Indonesia_Open,2018-07-08,Indonesia,XD,4,0,38,Indonesia,Malaysia,"Tontowi Ahmad, Liliyana Natsir",1.0,"Chan Peng Soon, Goh Liu Ying",,21,17,21.0,8.0,,,42,25,2,0,4,0,5,3,10,1,1,20,18650,1,40190
11,Yonex_All_England_Open,2018-03-16,England,XD,6,0,55,Japan,England,"Yuta Watanabe, Arisa Higashino",,"Chris Adcock, Gabrielle Adcock",7.0,18,21,21.0,15.0,21.0,15.0,60,51,2,1,2,1,6,5,3,1,0,33,7190,,
12,Yonex_All_England_Open,2018-03-15,England,XD,4,0,44,England,Korea,"Chris Adcock, Gabrielle Adcock",7.0,"Seo Seung Jae, Kim Ha Na",,23,21,23.0,21.0,,,46,42,2,0,4,3,5,4,0,0,1,,,12,11390
13,Yonex_All_England_Open,2018-03-17,England,XD,6,0,69,China,Denmark,"Zheng Si Wei, Huang Ya Qiong",5.0,"Mathias Christiansen, Christinna Pedersen",6.0,18,21,21.0,14.0,21.0,19.0,60,54,2,1,3,1,4,5,2,0,0,3,17000,5,16400
14,Blibli_Indonesia_Open,2018-07-04,Indonesia,XD,6,0,72,Denmark,Indonesia,"Joachim Fischer Nielsen, Alexandra Bøje",,"Ronald Ronald, Annisa Saufika",,17,21,21.0,16.0,24.0,22.0,62,59,2,1,5,3,6,6,0,0,1,57,6780,38,10200
15,Victor_China_Open,2018-09-18,China,XD,4,0,30,China,Chinesetaipei,"He Ji Ting, Du Yue",,"Lee Yang, Hsu Ya Ching",,21,16,21.0,11.0,,,42,27,2,0,2,0,7,4,1,0,0,16,29120,41,15170
16,Victor_China_Open,2018-09-19,China,XD,6,0,63,India,England,"Satwiksairaj Rankireddy, Ashwini Ponnappa",,"Marcus Ellis, Lauren Smith",,21,13,20.0,22.0,21.0,17.0,62,52,2,1,3,5,4,5,0,2,1,53,12240,6,37100
17,Victor_China_Open,2018-09-18,China,XD,4,0,22,Indonesia,Japan,"Tontowi Ahmad, Liliyana Natsir",3.0,"Yuki Kaneko, Misaki Matsutomo",,21,7,21.0,16.0,,,42,23,2,0,4,0,11,4,0,0,0,5,38450,76,7700
18,Victor_China_Open,2018-09-20,China,XD,6,0,63,Hongkong,Malaysia,"Tang Chun Man, Tse Ying Suet",4.0,"Tan Kian Meng, Lai Pei Jing",,19,21,21.0,16.0,24.0,22.0,64,59,2,1,4,4,5,6,6,3,0,17,29040,18,26230
19,Victor_China_Open,2018-09-18,China,XD,6,0,51,China,Netherlands,"Zhang Nan, Li Yin Hui",5.0,"Robin Tabeling, Cheryl Seinen",,21,13,20.0,22.0,21.0,14.0,62,49,2,1,3,2,6,3,0,0,1,31,19320,26,23050
20,Yonex_All_England_Open,2018-03-16,England,XD,6,0,65,China,Indonesia,"Zhang Nan, Li Yin Hui",8.0,"Hafiz Faizal, Gloria Emanuelle Widjaja",,21,14,18.0,21.0,21.0,18.0,60,53,2,1,4,4,5,6,0,1,1,30,7260,10,12530
21,Blibli_Indonesia_Open,2018-07-06,Indonesia,XD,6,0,43,China,Japan,"Zheng Si Wei, Huang Ya Qiong",4.0,"Yuta Watanabe, Arisa Higashino",,21,13,16.0,21.0,21.0,10.0,58,44,2,1,2,1,6,4,14,5,0,2,38200,6,26890
22,Yonex_All_England_Open,2018-03-15,England,XD,4,0,51,China,Malaysia,"Zhang Nan, Li Yin Hui",8.0,"Chan Peng Soon, Goh Liu Ying",,24,22,22.0,20.0,,,46,42,2,0,3,4,4,5,3,1,1,30,7260,6,15930
23,Blibli_Indonesia_Open,2018-07-05,Indonesia,XD,4,0,27,China,Hongkong,"Zhang Nan, Li Yin Hui",5.0,"Lee Chun Hei Reginald, Chau Hoi Wah",,21,11,21.0,6.0,,,42,17,2,0,2,0,7,3,1,0,1,35,12720,32,13150
24,Victor_China_Open,2018-09-20,China,XD,6,0,51,Japan,Indonesia,"Yuta Watanabe, Arisa Higashino",,"Tontowi Ahmad, Liliyana Natsir",3.0,21,12,14.0,21.0,21.0,12.0,56,45,2,1,2,2,5,5,1,1,1,9,35710,5,38450
25,Yonex_All_England_Open,2018-03-14,England,XD,6,0,63,Denmark,Germany,"Mathias Christiansen, Christinna Pedersen",6.0,"Mark Lamsfuss, Isabel Lohau",,17,21,21.0,17.0,21.0,12.0,59,50,2,1,2,2,5,5,0,0,0,4,16400,29,7000
26,Blibli_Indonesia_Open,2018-07-06,Indonesia,XD,6,0,65,Indonesia,Indonesia,"Hafiz Faizal, Gloria Emanuelle Widjaja",,"Ricky Karandasuwardi, Debby Susanto",,21,15,22.0,24.0,21.0,19.0,64,58,2,1,5,3,6,4,0,0,0,4,28950,26,14920
27,Yonex_All_England_Open,2018-03-15,England,XD,4,0,40,Japan,Netherlands,"Yuta Watanabe, Arisa Higashino",,"Jacco Arends, Selena Piek",,21,17,21.0,19.0,,,42,36,2,0,4,0,5,5,0,0,1,33,7190,9,12670
28,Yonex_All_England_Open,2018-03-14,England,XD,4,0,34,England,Malaysia,"Chris Adcock, Gabrielle Adcock",7.0,"Goh Soon Huat, Lai Shevon Jemie",,21,14,21.0,15.0,,,42,29,2,0,4,0,4,3,0,1,1,,,1,17880
29,Blibli_Indonesia_Open,2018-07-06,Indonesia,XD,4,0,38,Malaysia,China,"Chan Peng Soon, Goh Liu Ying",,"Wang Yi Lyu, Huang Dong Ping",2.0,21,19,21.0,14.0,,,42,33,2,0,4,0,5,3,1,9,0,1,40190,14,23210
30,Yonex_All_England_Open,2018-03-16,England,XD,6,0,54,China,China,"Zheng Si Wei, Huang Ya Qiong",5.0,"Wang Yi Lyu, Huang Dong Ping",2.0,21,16,16.0,21.0,21.0,11.0,58,48,2,1,3,2,4,4,15,5,0,3,17000,30,7260
31,Victor_China_Open,2018-09-21,China,XD,4,0,30,Hongkong,Indonesia,"Tang Chun Man, Tse Ying Suet",4.0,"Ricky Karandasuwardi, Debby Susanto",,21,15,21.0,11.0,,,42,26,2,0,3,0,6,4,1,0,0,17,29040,22,25120
32,Yonex_All_England_Open,2018-03-15,England,XD,6,0,80,Denmark,Thailand,"Mathias Christiansen, Christinna Pedersen",6.0,"Dechapol Puavaranukroh, Sapsiree Taerattanachai",,21,18,18.0,21.0,21.0,15.0,60,54,2,1,3,2,6,6,1,0,0,5,16400,20,9550
33,Blibli_Indonesia_Open,2018-07-05,Indonesia,XD,6,0,56,Indonesia,Denmark,"Hafiz Faizal, Gloria Emanuelle Widjaja",,"Mathias Christiansen, Christinna Pedersen",6.0,14,21,21.0,13.0,21.0,7.0,56,41,2,1,2,1,7,5,1,0,0,4,28950,5,27460
34,Victor_China_Open,2018-09-18,China,XD,4,0,27,China,Japan,"Wang Yi Lyu, Huang Dong Ping",2.0,"Takuro Hoki, Koharu Yonemoto",,21,17,21.0,12.0,,,42,29,2,0,4,0,5,4,0,0,0,15,29810,75,7880
35,Victor_China_Open,2018-09-22,China,XD,4,0,29,China,Hongkong,"Zheng Si Wei, Huang Ya Qiong",1.0,"Tang Chun Man, Tse Ying Suet",4.0,21,19,21.0,15.0,,,42,34,2,0,3,0,8,5,12,1,0,2,46600,17,29040
36,Blibli_Indonesia_Open,2018-07-03,Indonesia,XD,6,0,41,Japan,Indonesia,"Yugo Kobayashi, Misaki Matsutomo",,"Yantoni Edy Saputra, Marsheilla Gischa Islami",,21,18,17.0,21.0,21.0,8.0,59,47,2,1,3,1,6,6,0,0,1,,,18,16610
37,Victor_China_Open,2018-09-20,China,XD,4,0,36,Indonesia,China,"Ricky Karandasuwardi, Debby Susanto",,"Lu Kai, Chen Lu",,21,18,21.0,19.0,,,42,37,2,0,4,0,5,4,0,0,0,22,25120,40,15520
38,Victor_China_Open,2018-09-19,China,XD,4,0,43,China,Germany,"Lu Kai, Chen Lu",,"Mark Lamsfuss, Isabel Lohau",,21,12,30.0,29.0,,,51,41,2,0,12,3,5,6,1,2,1,40,15520,19,26140
39,Blibli_Indonesia_Open,2018-07-03,Indonesia,XD,6,0,50,Indonesia,France,"Hafiz Faizal, Gloria Emanuelle Widjaja",,"Ronan Labar, Audrey Mittelheisser",,20,22,21.0,11.0,21.0,15.0,62,48,2,1,3,2,6,5,1,0,0,6,24630,25,14320
40,Yonex_All_England_Open,2018-03-14,England,XD,6,0,57,Korea,Chinesetaipei,"Seo Seung Jae, Kim Ha Na",,"Wang Chi-Lin, Lee Chia Hsin",,24,22,16.0,21.0,21.0,12.0,61,55,2,1,6,1,6,6,1,0,0,15,8640,24,7200
41,Blibli_Indonesia_Open,2018-07-05,Indonesia,XD,4,0,38,Malaysia,Denmark,"Chan Peng Soon, Goh Liu Ying",,"Niclas Nohr, Sara Thygesen",,21,15,21.0,17.0,,,42,32,2,0,3,0,5,4,0,0,0,1,40190,10,25180
42,Victor_China_Open,2018-09-19,China,XD,4,0,31,China,Malaysia,"Zheng Si Wei, Huang Ya Qiong",1.0,"Chan Peng Soon, Goh Liu Ying",,21,18,21.0,17.0,,,42,35,2,0,2,0,6,3,2,1,1,2,46600,1,50390
43,Victor_China_Open,2018-09-22,China,XD,6,0,55,China,China,"Zhang Nan, Li Yin Hui",5.0,"Wang Yi Lyu, Huang Dong Ping",2.0,21,10,19.0,21.0,21.0,14.0,61,45,2,1,3,1,6,4,0,1,1,31,19320,15,29810
44,Blibli_Indonesia_Open,2018-07-03,Indonesia,XD,6,0,57,Indonesia,China,"Ricky Karandasuwardi, Debby Susanto",,"He Ji Ting, Du Yue",,17,21,21.0,13.0,24.0,22.0,62,56,2,1,2,6,9,6,0,0,1,22,14920,12,20070
45,Blibli_Indonesia_Open,2018-07-04,Indonesia,XD,4,0,28,England,Netherlands,"Chris Adcock, Gabrielle Adcock",8.0,"Jacco Arends, Selena Piek",,21,14,21.0,13.0,,,42,27,2,0,4,0,7,3,3,0,1,61,6600,4,26020
46,Victor_China_Open,2018-09-21,China,XD,6,0,73,China,Denmark,"Wang Yi Lyu, Huang Dong Ping",2.0,"Mathias Christiansen, Christinna Pedersen",6.0,24,22,13.0,21.0,28.0,26.0,65,69,2,1,13,4,5,7,0,1,1,15,29810,12,32260
47,Blibli_Indonesia_Open,2018-07-03,Indonesia,XD,4,0,30,Indonesia,Malaysia,"Tontowi Ahmad, Liliyana Natsir",1.0,"Tan Kian Meng, Lai Pei Jing",,21,11,21.0,14.0,,,42,25,2,0,3,0,10,5,3,1,1,30,12600,16,18350
48,Victor_China_Open,2018-09-23,China,XD,4,0,29,China,China,"Zheng Si Wei, Huang Ya Qiong",1.0,"Zhang Nan, Li Yin Hui",5.0,21,16,21.0,9.0,,,42,25,2,0,4,0,5,3,2,0,0,2,46600,31,19320
49,Victor_China_Open,2018-09-21,China,XD,6,0,57,China,Thailand,"Zheng Si Wei, Huang Ya Qiong",1.0,"Dechapol Puavaranukroh, Sapsiree Taerattanachai",,17,21,21.0,14.0,21.0,19.0,59,54,2,1,2,1,6,6,12,3,0,2,46600,8,35860
50,Victor_China_Open,2018-09-20,China,XD,4,0,28,China,India,"Zheng Si Wei, Huang Ya Qiong",1.0,"Satwiksairaj Rankireddy, Ashwini Ponnappa",,21,14,21.0,11.0,,,42,25,2,0,6,0,6,3,1,0,0,2,46600,53,12240
51,Blibli_Indonesia_Open,2018-07-04,Indonesia,XD,4,0,42,Malaysia,Malaysia,"Chan Peng Soon, Goh Liu Ying",,"Goh Soon Huat, Lai Shevon Jemie",7.0,21,19,21.0,19.0,,,42,38,2,0,2,0,5,7,1,0,0,1,37530,2,31730
52,Blibli_Indonesia_Open,2018-07-03,Indonesia,XD,6,0,48,Thailand,Hongkong,"Dechapol Puavaranukroh, Sapsiree Taerattanachai",,"Tang Chun Man, Tse Ying Suet",3.0,21,19,13.0,21.0,21.0,15.0,55,55,2,1,4,1,6,6,6,2,1,27,13550,13,19990
53,Yonex_All_England_Open,2018-03-14,England,XD,6,0,68,Malaysia,Ireland,"Chan Peng Soon, Goh Liu Ying",,"Sam Magee, Chloe Magee",,18,21,24.0,22.0,21.0,15.0,63,58,2,1,6,3,5,6,0,0,0,5,14260,,
54,Blibli_Indonesia_Open,2018-07-03,Indonesia,XD,4,0,37,Denmark,Ireland,"Mathias Christiansen, Christinna Pedersen",6.0,"Sam Magee, Chloe Magee",,21,12,21.0,14.0,,,42,26,2,0,2,0,6,3,1,0,0,5,24800,57,6780
55,Victor_China_Open,2018-09-20,China,XD,4,0,19,China,Vietnam,"Zhang Nan, Li Yin Hui",5.0,"Tuan Duc Do, Nhu Thao Pham",,21,5,21.0,10.0,,,42,15,2,0,4,0,8,2,1,0,0,31,19320,60,10590
56,Blibli_Indonesia_Open,2018-07-05,Indonesia,XD,6,0,53,Japan,England,"Yuta Watanabe, Arisa Higashino",,"Chris Adcock, Gabrielle Adcock",8.0,21,19,16.0,21.0,21.0,13.0,58,53,2,1,3,1,5,4,3,1,0,6,26890,31,14300
