,Tournament Name,Tournament Date,Tournament Country,Discipline,Number of Sets Played,Retired,Match Duration (min),Team 1 Nationalities,Team 2 Nationalities,Team 1 Name(s),Team 1 Seed,Team 2 Name(s),Team 2 Seed,Points Set 1 Team 1,Points Set 1 Team 2,Points Set 2 Team 1,Points Set 2 Team 2,Points Set 3 Team 1,Points Set 3 Team 2,Total Points Team 1,Total Points Team 2,Sets Won Team 1,Sets Won Team 2,Total Game Points Team 1,Total Game Points Team 2,Most Consecutive Points Team 1,Most Consecutive Points Team 2,Team 1 Head to Head Analysis,Team 2 Head to Head Analysis,Upset,Team 1 World Ranking (at the time),Team 1 Points Accumulated,Team 2 World Ranking (at the time),Team 2 Points Accumulated
0,Yonex_All_England_Open,2018-03-18,1,XD,6,0,62,10,4,73,,133,5.0,15,21,22.0,20.0,21.0,16.0,58,57,2,1,3,3,7,4,4,15,1,33.0,7190.0,3.0,17000.0
1,Yonex_All_England_Open,2018-03-17,1,XD,4,0,43,10,4,73,,132,8.0,21,14,21.0,18.0,,,42,32,2,0,2,0,6,4,0,2,1,33.0,7190.0,30.0,7260.0
2,Blibli_Indonesia_Open,2018-07-06,2,XD,4,0,33,8,4,64,1.0,132,5.0,21,17,21.0,14.0,,,42,31,2,0,3,0,10,5,3,0,0,20.0,18650.0,35.0,12720.0
3,Blibli_Indonesia_Open,2018-07-05,2,XD,4,0,40,8,23,52,,20,,21,14,21.0,19.0,,,42,33,2,0,3,0,4,5,0,1,1,26.0,14920.0,18.0,19600.0
4,Blibli_Indonesia_Open,2018-07-04,2,XD,4,0,37,1,13,67,,90,,21,12,26.0,24.0,,,47,36,2,0,4,3,6,4,0,0,0,14.0,19950.0,100.0,3100.0
5,Yonex_All_England_Open,2018-03-15,1,XD,4,0,33,8,8,47,4.0,61,,21,12,21.0,17.0,,,42,29,2,0,7,0,6,5,0,0,0,2.0,21670.0,19.0,9800.0
6,Blibli_Indonesia_Open,2018-07-07,2,XD,4,0,30,8,13,64,1.0,32,,21,18,21.0,8.0,,,42,26,2,0,3,0,6,3,1,1,1,20.0,18650.0,4.0,28950.0
7,Blibli_Indonesia_Open,2018-07-05,2,XD,4,0,38,8,15,64,1.0,128,,23,21,21.0,19.0,,,44,40,2,0,9,0,6,4,0,0,0,20.0,18650.0,84.0,4320.0
8,Yonex_All_England_Open,2018-03-16,1,XD,4,0,45,2,13,37,6.0,82,4.0,21,16,21.0,15.0,,,42,31,2,0,2,0,4,4,0,0,1,5.0,16400.0,2.0,21670.0
9,Blibli_Indonesia_Open,2018-07-07,2,XD,4,0,36,12,4,5,,133,4.0,21,18,21.0,16.0,,,42,34,2,0,2,0,4,4,0,3,0,1.0,40190.0,2.0,38200.0
10,Blibli_Indonesia_Open,2018-07-08,2,XD,4,0,38,8,17,64,1.0,9,,21,17,21.0,8.0,,,42,25,2,0,4,0,5,3,10,1,1,20.0,18650.0,1.0,40190.0
11,Yonex_All_England_Open,2018-03-16,1,XD,6,0,55,10,8,73,,19,7.0,18,21,21.0,15.0,21.0,15.0,60,51,2,1,2,1,6,5,3,1,0,33.0,7190.0,,
12,Yonex_All_England_Open,2018-03-15,1,XD,4,0,44,3,16,10,7.0,104,,23,21,23.0,21.0,,,46,42,2,0,4,3,5,4,0,0,1,,,12.0,11390.0
